file,day,t0,t1,fixes,nm,mx,avg,upAvg,dnAvg
787,2026-09-08,10:34,15:56,38341,37.5,16.4,7.04,5.55,12.19
Aretê 1872,2026-09-08,10:34,15:57,38676,36.7,16.1,6.87,5.44,11.93
Bábá,2026-09-08,11:34,15:49,30524,30.6,15.9,7.25,5.58,12.19
DIVA-NEU 8.9.2026,2026-09-08,10:37,16:16,40661,37.5,16.2,6.69,5.29,12.13
Dime Piece,2026-09-08,10:32,16:06,40135,37.7,16.9,6.8,5.59,11.99
Florida 65,2026-09-08,10:29,15:57,39326,37.8,16.9,6.96,5.49,12.39
GTG New 2026,2026-09-08,10:43,15:32,34082,34.5,16.3,7.21,5.48,12.44
J70 Let it be,2026-09-09,12:09,18:58,49042,37.8,20.0,5.6,4.6,13.12
J70 Let it be,2026-09-08,10:54,16:17,38571,35.4,16.2,6.63,5.35,11.44
JCurve,2026-09-08,10:51,15:48,35610,35.3,16.8,7.18,5.59,12.17
Jamaica,2026-09-08,09:14,15:56,48266,37.4,16.3,5.62,4.28,12.22
Lady in red 2,2026-09-08,10:45,15:57,37499,36.0,17.0,6.97,5.55,12.38
MidlifeCrisis,2026-09-08,10:40,15:54,187933,37.8,16.5,7.24,5.73,12.18
Mag,2026-09-09,12:16,18:08,42245,35.8,20.5,6.19,4.99,13.42
Mag,2026-09-08,10:39,15:49,37182,36.4,17.0,7.11,5.57,12.38
Mike's Vakaros,2026-09-08,11:50,15:44,28118,28.3,17.1,7.31,5.72,12.15
Moore DRV,2026-09-08,10:28,16:16,41794,37.9,15.9,6.56,5.36,11.52
NJK 8.9.2026,2026-09-08,10:34,15:59,38320,37.7,16.8,6.99,5.36,12.3
Nautique,2026-09-08,09:57,15:52,42274,36.6,16.1,6.25,4.72,12.14
Odessa,2026-09-07,12:31,16:53,156824,22.2,16.3,5.1,4.59,10.27
Patakin 3,2026-09-08,10:27,16:05,40617,38.1,16.2,6.8,5.38,12.26
Phantom7 8.9.2026,2026-09-08,10:44,15:50,36741,35.9,17.3,7.13,5.57,12.19
RO,2026-09-08,09:54,16:08,223229,39.8,16.8,6.45,4.92,12.1
Sassy,2026-09-08,10:46,15:53,36382,35.7,16.4,7.02,5.54,12.07
Sardonyx,2026-09-08,10:41,16:19,40499,37.4,16.4,6.69,5.28,12.37
TUR 442 08.09.2026,2026-09-08,10:55,16:05,37181,36.2,16.2,7.06,5.56,12.14
TYRA VAKAROS2,2026-09-08,10:31,16:42,43338,39.4,16.4,6.44,5.01,11.93
To Nessa,2026-09-08,10:48,15:47,34794,35.1,16.5,7.09,5.54,12.36
V-Tarte,2026-09-08,10:37,15:58,38490,36.1,16.3,6.82,5.46,11.89
Yupi,2026-09-09,12:08,18:55,48740,37.4,19.8,5.61,4.51,13.15
Yupi,2026-09-08,10:39,15:55,37936,36.6,16.7,7.03,5.47,12.1
joust70,2026-09-08,10:33,15:42,37078,36.8,17.0,7.2,5.64,12.37
noticia,2026-09-08,10:32,15:48,37979,36.9,16.5,7.05,5.5,12.33
Team Sweden (Roman),2026-09-08,11:02,16:07,36573,35.2,16.3,6.95,5.49,12.36
joust70,2026-09-09,16:32,17:49,9148,10.0,19.6,7.85,5.43,13.89
Team Sweden (Roman),2026-09-09,12:09,18:53,48443,37.5,19.8,5.59,4.56,13.57
Team Sweden (Roman),2026-09-10,11:18,17:04,41538,35.1,17.0,6.1,4.9,12.04
Moore DRV - vakaros,2026-09-10,11:20,16:59,40754,34.5,16.2,6.11,5.34,10.96
Vamos September,2026-09-10,11:05,16:54,41958,36.9,16.1,6.35,5.24,11.02
Yupi,2026-09-10,11:24,17:05,40963,33.6,16.6,5.94,5.06,11.44
