race,boat,n,kind,wind,min,sog,vmg,twa,eff,svmg,ssog,stwa,keep,extra,tacks,gybes,tloss_m,tloss_s,gloss_m,gloss_s,loss_m,loss_s,tdip,gdip
5,Lady in red 2,1,beat,320,34.2,5.46,4.05,40.4,0.741,4.07,5.5,40.5,0.903,1493,8,0,2.5,1.2,,,20,10,3.27,
5,Lady in red 2,2,run,329,17.8,10.24,7.32,139.1,0.715,7.42,10.48,138.0,0.907,1596,2,2,34.8,9.1,-5.2,-1.4,59,16,8.55,5.45
5,Lady in red 2,3,beat,334,32.6,5.4,3.97,41.6,0.735,3.99,5.41,41.4,0.923,1436,6,0,3.0,1.5,,,18,9,3.1,
5,Lady in red 2,4,run,334,15.5,11.09,8.01,137.5,0.723,8.07,11.28,136.4,0.87,1425,0,4,,,4.4,1.0,18,4,,5.7
5,787,1,beat,320,34.5,5.52,4.0,42.0,0.725,4.04,5.57,42.2,0.86,1595,12,0,2.5,1.2,,,30,14,3.22,
5,787,2,run,329,22.5,8.91,5.78,130.4,0.649,5.84,9.02,129.9,0.914,2154,1,3,20.6,6.9,3.5,1.2,31,10,3.5,5.6
5,787,3,beat,334,32.9,5.67,3.92,44.8,0.691,3.94,5.74,45.3,0.899,1769,8,0,1.8,0.9,,,14,7,3.2,
5,787,4,run,334,18.5,10.11,6.69,132.1,0.662,6.8,10.45,130.7,0.809,1918,0,7,,,7.0,2.0,49,14,,5.44
5,DIVA-NEU,1,beat,320,34.0,5.61,4.1,41.7,0.73,4.14,5.67,41.6,0.906,1529,8,0,5.2,2.5,,,42,20,3.15,
5,DIVA-NEU,2,run,329,21.9,8.57,5.89,132.9,0.687,5.91,8.62,132.8,0.954,1797,0,2,,,6.6,2.2,13,4,,4.45
5,DIVA-NEU,3,beat,334,32.5,5.51,3.95,42.9,0.718,3.96,5.53,43.0,0.975,1567,2,0,3.2,1.6,,,6,3,3.9,
5,DIVA-NEU,4,run,334,16.4,10.94,7.7,135.0,0.704,7.73,11.1,133.9,0.878,1597,0,4,,,0.8,0.2,3,1,,5.72
5,Dime Piece,1,beat,320,35.0,5.43,3.86,42.5,0.71,3.87,5.47,42.8,0.953,1698,4,0,2.3,1.1,,,9,4,3.4,
5,Dime Piece,2,run,329,21.4,7.13,6.03,156.2,0.846,5.99,7.16,155.2,0.873,715,1,5,-3.1,-1.0,-6.5,-2.1,-36,-12,3.4,3.3
5,Dime Piece,3,beat,334,32.7,5.58,3.91,44.6,0.701,3.94,5.61,44.5,0.903,1665,8,0,3.4,1.7,,,27,13,3.89,
5,Dime Piece,4,run,334,18.0,9.79,7.09,138.2,0.725,7.25,10.19,136.1,0.861,1472,0,5,,,15.9,4.3,80,21,,4.88
5,GTG New 2026,1,beat,320,32.8,5.79,4.28,41.0,0.739,4.3,5.84,41.3,0.923,1471,6,0,3.4,1.5,,,20,9,3.3,
5,GTG New 2026,2,run,329,21.2,9.44,6.12,129.5,0.648,6.26,9.6,130.2,0.878,2149,2,4,59.9,18.6,-9.6,-3.0,81,25,4.4,5.02
5,GTG New 2026,3,beat,334,33.1,5.48,3.86,43.8,0.704,3.91,5.54,43.9,0.879,1662,10,0,4.4,2.2,,,44,22,3.14,
5,GTG New 2026,4,run,334,15.7,11.44,8.08,135.2,0.706,8.02,11.58,133.6,0.841,1601,0,5,,,-7.4,-1.8,-37,-9,,7.1
5,Henrique,1,beat,320,32.7,5.42,4.19,37.7,0.772,4.19,5.43,37.7,0.962,1248,3,0,1.6,0.7,,,5,2,2.93,
5,Henrique,2,run,329,21.0,8.0,6.13,141.7,0.766,6.26,8.24,140.2,0.845,1171,3,4,24.9,7.7,-0.8,-0.2,72,22,2.6,3.7
