race,boat,m0,m1,m2,up,dn,ex,tk,dl,al
1,,,,,5.92,12.16,1134,0,6.5,0.28
1,,,,,5.88,11.67,1249,2,5.2,0.45
1,,,,,5.98,11.7,1300,1,5.8,0.65
1,,,,,5.84,11.44,1324,2,5.9,0.36
1,,,,,5.91,11.58,1367,2,4.3,0.91
1,,,,,5.93,11.83,1268,2,7.4,0.59
1,,,,,5.95,11.73,1507,7,13.0,0.91
1,,,,,5.83,11.82,1250,1,4.9,0.87
1,,,,,6.04,11.57,1460,3,17.2,0.94
1,,,,,5.96,11.52,1345,0,4.8,0.44
1,,,,,5.97,10.86,1330,0,2.2,0.89
1,,,,,6.08,10.99,1596,2,14.0,0.71
1,,,,,6.11,11.37,1468,0,4.3,0.98
2,,,,,5.75,12.34,1198,0,5.2,0.47
2,,,,,5.66,11.74,1110,2,6.7,0.36
2,,,,,5.66,12.18,1340,3,4.3,0.13
2,,,,,5.61,11.65,1168,1,13.6,0.08
2,,,,,5.77,11.82,1225,0,3.5,0.26
2,,,,,5.63,12.11,1361,2,15.5,0.09
2,,,,,5.77,12.1,1495,4,18.3,0.35
2,,,,,5.76,12.29,1545,2,13.7,0.38
2,,,,,5.65,11.94,1346,2,3.1,0.3
2,,,,,5.82,11.26,1635,1,10.8,0.91
2,,,,,5.79,11.66,1435,2,10.9,0.51
2,,,,,5.7,11.81,1491,6,11.1,0.93
