boat,s0,s5,s10,s20,s30,s60,hold,rank0,rank60,rankhold
RelativeObscurity,22.9,21.52,20.55,19.35,18.91,18.41,0.804,2,2,28
Dime,23.2,20.76,20.35,19.9,18.36,16.16,0.697,1,28,30
Noticia,21.8,20.61,20.25,19.72,19.21,18.34,0.841,3,3,24
Sassy,21.2,20.08,19.64,19.33,18.73,17.93,0.846,4,6,20
MidlifeCrisis,21.2,19.96,19.48,19.08,19.01,18.59,0.877,5,1,6
Sardonyx,20.7,19.95,19.27,18.63,18.44,17.77,0.858,7,8,13
Marnatura,20.7,19.93,19.61,19.25,18.91,17.87,0.863,8,7,9
WarCanoe,21.0,19.89,19.63,19.08,18.59,18.21,0.867,6,4,7
Vamos,20.4,19.69,19.48,19.34,19.09,18.12,0.888,13,5,4
Jamaica,20.2,19.3,18.59,17.74,17.21,17.09,0.846,14,17,21
Magatron,20.5,19.12,19.0,18.39,18.09,17.34,0.846,10,14,22
Tyra,20.5,19.09,18.82,18.12,17.95,17.42,0.85,11,12,17
LetItBe,20.0,19.08,18.47,18.0,17.3,16.5,0.825,18,23,26
GoodToGo,20.1,19.05,18.63,18.08,17.71,17.16,0.854,16,15,15
LadyInRed,19.8,19.01,18.32,18.12,17.73,17.63,0.89,20,9,2
Patakin,20.7,19.0,18.5,18.18,17.76,17.55,0.848,9,10,19
Garm,19.8,18.99,18.56,17.9,17.8,17.14,0.866,21,16,8
Progress,20.2,18.95,18.12,17.71,17.23,16.35,0.809,15,25,27
LiquidSun,19.9,18.93,18.66,18.22,17.63,17.09,0.859,19,18,11
Yupi,19.8,18.86,18.26,17.57,17.27,16.57,0.837,22,22,25
VTarte,19.6,18.78,18.61,18.21,17.84,17.43,0.889,23,11,3
SolidFun,19.5,18.71,18.24,17.7,17.42,16.8,0.862,24,20,10
Arete,19.4,18.58,18.46,18.19,17.92,17.41,0.897,25,13,1
Stampede,19.3,18.52,17.91,17.38,16.79,16.43,0.851,27,24,16
EuroVoiles,20.5,18.37,17.24,16.84,15.9,15.51,0.757,12,30,29
MooreDRV,20.1,18.23,17.88,17.42,17.27,16.96,0.844,17,19,23
Phantom7,19.4,18.11,17.51,16.85,16.95,16.65,0.858,26,21,14
Fantom,19.2,18.07,17.54,16.83,16.88,16.3,0.849,28,26,18
Baba,18.5,17.66,17.47,16.8,16.56,16.29,0.881,30,27,5
Sardonyx (2),18.7,17.35,17.09,16.72,16.47,16.07,0.859,29,29,12
