date,hr,raw,cor,sp,kn,gust,mslp,trust
2026-09-11,11,50.3,,12.7,2.7,13.2,1018.5,false
2026-09-11,12,27.9,,117.9,1.9,13.2,1018.3,false
2026-09-11,13,89.6,,158.4,1.6,13.4,1017.9,false
2026-09-11,14,303.3,,124.7,1.9,13.4,1017.4,false
2026-09-11,15,315.4,,55.6,3.0,13.4,1017.0,false
2026-09-11,16,324.6,,19.4,5.1,14.0,1016.8,false
2026-09-11,17,336.7,,4.7,7.4,16.5,1016.8,false
2026-09-11,18,339.0,322.9,7.0,8.5,18.1,1016.9,true
2026-09-12,11,133.8,,39.8,1.9,8.6,1018.4,false
2026-09-12,12,143.8,,53.8,2.0,10.1,1018.2,false
2026-09-12,13,157.1,,61.9,1.8,11.3,1017.8,false
2026-09-12,14,216.8,,45.8,2.1,12.1,1017.4,false
2026-09-12,15,275.3,,33.7,3.2,14.4,1016.7,false
2026-09-12,16,292.8,,25.2,4.1,15.6,1016.1,false
2026-09-12,17,306.8,,22.8,5.2,13.6,1016.0,false
2026-09-12,18,321.7,,18.7,6.3,15.7,1016.0,false
